色,上の句,下の句,上の句読み,下の句読み,決まり字（競技かるた）,決まり字（五色百人一首）
ピンク,田子[たご]の浦[うら]にうち出[い]でて見[み]れば白妙[しろたへ]の,富士[ふじ]の高嶺[たかね]に雪[ゆき]は降[ふ]りつつ,たごのうらに うちいでてみれば しろたへの,ふじのたかねに ゆきはふりつつ,たご,たご
ピンク,立[た]ち別[わか]れいなばの山[やま]の峰[みね]に生[お]うる,まつとし聞[き]かば今[いま]帰[かへ]り来[こ]む,たちわかれ いなばのやまの みねにおふる,まつとしきかば いまかへりこむ,たち,たち
ピンク,誰[たれ]をかも知[し]る人[ひと]にせむ高砂[たかさご]の,松[まつ]も昔[むかし]の友[とも]ならなくに,たれをかも しるひとにせむ たかさごの,まつもむかしの ともならなくに,たれ,たれ
ピンク,筑波嶺[つくばね]の峰[みね]より落[お]つる男女川[みなのがは],恋[こひ]ぞつもりて淵[ふち]となりぬる,つくばねの みねよりおつる みなのがは,こひぞつもりて ふちとなりぬる,つく,つ
ピンク,⾧[なが]ならむ心[こころ]も知[し]らず黒髪[くろかみ]の,乱[みだ]れて今朝[けさ]はものをこそ思[おも]へ,ながからむ こころもしらず くろかみの,みだれてけさは ものをこそおもへ,ながか,ながか
ピンク,永[なが]らへばまたこの頃[ごろ]やしのばれむ,憂[う]しと見[み]し世[よ]ぞ今[いま]は恋[こひ]しき,ながらへば またこのごろや しのばれむ,うしとみしよぞ いまはこひしき,ながら,ながら
ピンク,嘆[なげ]けとて月[つき]やはものを思[おも]はする,かこち顔[がほ]なるわが涙[なみだ]かな,なげけとて つきやはものを おもはする,かこちがほなる わがなみだかな,なげけ,なげ
ピンク,吹[ふ]くからに秋[あき]の草木[くさき]のしをるれば,むべ山風[やまかぜ]を嵐[あらし]といふらむ,ふくからに あきのくさきの しをるれば,むべやまかぜを あらしといふらむ,ふ,ふ
ピンク,もろともにあはれと思[おも]へ山桜[やまざくら],花[はな]より外[ほか]に知[し]る人[ひと]もなし,もろともに あはれとおもへ やまざくら,はなよりほかに しるひともなし,もろ,も
ピンク,山里[やまざと]は冬[ふゆ]ぞ寂[さび]しさまさりける,人目[ひとめ]も草[くさ]もかれぬと思[おも]へば,やまざとは ふゆぞさびしさ まさりける,ひとめもくさも かれぬとおもへば,やまざ,や
ピンク,世[よ]の中[なか]よ道[みち]こそなけれ思[おも]ひ入[い]る,山[やま]の奥[おく]にも鹿[しか]ぞ鳴[な]くなる,よのなかよ みちこそなけれ おもひいる,やまのおくにも しかぞなくなる,よのなかよ,よ
黄,秋風[あきかぜ]にたなびく雲[くも]の絶[た]え間[ま]より,もれ出[い]づる月[つき]の影[かげ]のさやけさ,あきかぜに たなびくくもの たえまより,もれいづるつきの かげのさやけさ,あきか,あき
